record,parcel,r_account,city,bid,error
118,2709-04-388-1862,R043881862,OKC,350,Could not find input field
119,2714-06-166-2970,R061662970,OKC,255,Could not find input field
120,2714-06-190-8325,R061908325,OKC,505,Could not find input field
121,2717-06-374-6485,R063746485,OKC,385,Could not find input field
122,2719-13-350-7315,R133507315,OKC,460,Could not find input field
123,2722-07-185-2455,R071852455,OKC,380,Could not find input field
124,2722-07-193-0290,R071930290,OKC,250,Could not find input field
125,2722-07-193-0430,R071930430,OKC,355,Could not find input field
126,2722-07-193-0470,R071930470,OKC,460,Could not find input field
127,2723-07-209-0126,R072090126,OKC,450,Could not find input field
128,2723-07-209-2700,R072092700,OKC,475,Could not find input field
129,2725-01-592-9250,R015929250,OKC,245,Could not find input field
130,2806-14-263-1140,R142631140,OKC,250,Could not find input field
131,2810-14-255-1607,R142551607,OKC,245,Could not find input field
132,2810-14-255-1617,R142551617,OKC,245,Could not find input field
133,2810-14-255-1627,R142551627,OKC,245,Could not find input field
134,2810-14-255-1637,R142551637,OKC,245,Could not find input field
135,2810-14-255-1647,R142551647,OKC,245,Could not find input field
136,2811-18-846-1015,R188461015,WARR ACRES,515,Could not find input field
137,2812-18-846-2080,R188462080,WARR ACRES,570,Could not find input field
138,2816-14-015-1944,R140151944,OKC,2510,Could not find input field
139,2834-18-908-0500,R189080500,WARR ACRES,240,Could not find input field
140,2834-18-908-4500,R189084500,WARR ACRES,240,Could not find input field
141,2835-17-285-2000,R172852000,BETHANY,255,Could not find input field
142,2835-17-376-8200,R173768200,BETHANY,435,Could not find input field
143,2836-17-595-1030,R175951030,BETHANY,490,Could not find input field
144,2836-18-432-1126,R184321126,WARR ACRES,440,Could not find input field
145,2842-14-289-1015,R142891015,OKC,295,Could not find input field
146,2852-07-278-1095,R072781095,OKC,250,Could not find input field
147,2857-18-862-1280,R188621280,WARR ACRES,490,Could not find input field
148,2857-18-897-1155,R188971155,WARR ACRES,255,Could not find input field
149,2857-18-897-1305,R188971305,WARR ACRES,240,Could not find input field
150,2874-17-239-1326,R172391326,BETHANY,445,Could not find input field
151,2879-17-390-1085,R173901085,BETHANY,500,Could not find input field
152,2879-17-390-1520,R173901520,BETHANY,245,Could not find input field
153,2885-14-544-5670,R145445670,OKC,510,Could not find input field
154,2892-14-610-1025,R146101025,OKC,245,Could not find input field
155,2898-06-446-6000,R064466000,OKC,465,Could not find input field
156,2914-14-798-2430,R147982430,OKC,1515,Could not find input field
157,2915-12-018-1010,R120181010,OKC,530,Could not find input field
158,2928-14-804-1515,R148041515,OKC,485,Could not find input field
159,3421-18-308-1000,R183081000,EDMOND,625,Could not find input field
160,3421-18-308-1080,R183081080,EDMOND,455,Could not find input field
161,3613-14-452-0824,R144520824,OKC,370,Could not find input field
162,3633-12-890-1235,R128901235,OKC,435,Could not find input field
163,3633-20-225-1295,R202251295,OKC,750,Could not find input field
164,3635-14-103-4877,R141034877,OKC,410,Could not find input field
165,3645-18-257-1375,R182571375,EDMOND,375,Could not find input field
166,3653-12-283-1265,R122831265,OKC,420,Could not find input field
167,3671-11-012-2325,R110122325,OKC,410,Could not find input field
168,3674-10-967-1075,R109671075,OKC,640,Could not find input field
169,3681-13-076-6850,R130766850,OKC,605,Could not find input field
170,3682-13-076-5376,R130765376,OKC,630,Could not find input field
171,3682-13-076-6363,R130766363,OKC,455,Could not find input field
172,3683-13-076-2493,R130762493,OKC,435,Could not find input field
173,3683-13-076-5970,R130765970,OKC,455,Could not find input field
174,3684-12-294-1930,R122941930,OKC,550,Could not find input field
175,3697-13-492-0300,R134920300,OKC,1175,Could not find input field
176,3721-17-958-2590,R179582590,VILLAGE,505,Could not find input field
177,3726-13-160-2720,R131602720,OKC,515,Could not find input field
178,3726-13-160-6440,R131606440,OKC,465,Could not find input field
179,3726-13-160-9142,R131609142,OKC,250,Could not find input field
180,3730-13-048-3635,R130483635,OKC,525,Could not find input field
181,3858-12-048-1215,R120481215,OKC,445,Could not find input field
182,3858-12-288-1255,R122881255,OKC,610,Could not find input field
183,3862-10-032-2845,R100322845,OKC,495,Could not find input field
184,3874-12-065-1005,R120651005,OKC,765,Could not find input field
185,3882-12-637-1055,R126371055,OKC,450,Could not find input field
186,3885-13-499-1055,R134991055,OKC,355,Could not find input field
187,3896-12-034-1495,R120341495,OKC,455,Could not find input field
188,3897-17-901-1200,R179011200,VILLAGE,245,Could not find input field
189,3907-14-885-1585,R148851585,OKC,895,Could not find input field
190,3915-14-216-1325,R142161325,OKC,1385,Could not find input field
191,3921-17-125-5305,R171255305,OKC,490,Could not find input field
192,3922-13-085-1665,R130851665,OKC,375,Could not find input field
193,4107-18-531-4500,R185314500,LUTHER,1230,Could not find input field
194,4108-18-563-3750,R185633750,LUTHER,520,Could not find input field
195,4522-12-003-1385,R120031385,EDMOND,425,Could not find input field
196,4655-20-041-1395,R200411395,EDMOND,430,Could not find input field
197,4702-20-624-1150,R206241150,EDMOND,490,Could not find input field
198,4732-12-995-1490,R129951490,OKC,570,Could not find input field
199,4741-18-256-1228,R182561228,OKC,430,Could not find input field
200,4743-18-270-1305,R182701305,EDMOND,645,Could not find input field
201,4834-12-867-1450,R128671450,UNINCORPORATED,630,Could not find input field
202,4834-12-867-1460,R128671460,UNINCORPORATED,630,Could not find input field
